BIOGUIDE_ID,OFFICE,YEAR,QUARTER,PROGRAM,CATEGORY,YTD,AMOUNT
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,37018.29,13790.51
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,41405.37,21263.97
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,41831.3,19251.3
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,5164.08,1897.31
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5108.72,1700.24
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,878153.94,318786.06
S000244,2017 HON. F. JAMES SENSENBRENNER  JR.,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,878153.94,318786.06
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,825.76,173.23
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,692285.12,230885.62
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,13408.11,6113.13
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,107443.32,38003.34
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,563.74,183.4
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,21477.74,9228
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6662.74,1590.47
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,5516.31,645
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,848182.84,286822.19
S000248,2017 HON. JOSE E. SERRANO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,848182.84,286822.19
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11338.47,4813.65
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,711751.08,252047.19
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,37509.79,13297.69
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,70171.14,20850.32
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4084.94,1520.12
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,45394.84,11010
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,23545.67,8513.57
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3860.04,720
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,907655.97,312772.54
S000250,2017 HON. PETE SESSIONS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,907655.97,312772.54
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1793.37,1014.01
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,569449.35,174068.49
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,54880.33,23929.85
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,90076.99,35056.78
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,9130.99,3388.77
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,57507.94,10733.01
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,47243,14766.51
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3774.08,864
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,833856.05,263821.42
S001185,2017 HON. TERRI A. SEWELL,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,833856.05,263821.42
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,664.28,272.97
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,674842.8,246731.68
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,69999.81,40623.19
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,33171.69,11648.47
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,4101.03,2777.84
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37974.01,10524.14
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,29582.22,5123.53
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7735.01,3037.19
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,858070.85,320739.01
S001170,2017 HON. CAROL SHEA-PORTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,858070.85,320739.01
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,10155.95,6137.76
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,693583.76,240296.79
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,6929.31,2261.67
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,98997.41,36055.81
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,28945.58,14071.23
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,26929,7609
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13114.28,4615.46
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2876.3,870.99
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,881531.59,311918.71
S000344,2017 HON. BRAD SHERMAN,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,881531.59,311918.71
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2867.45,1152.09
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,794554.27,271376.72
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,17013.23,9382.97
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,51235.03,18241.41
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1043.15,312.25
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,32169.94,11051.26
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6140.62,1256.01
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,8883.52,1623.6
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,913907.21,314396.31
S000364,2017 HON. JOHN SHIMKUS,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,913907.21,314396.31
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1932.03,800.98
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,658612.21,227017.59
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,26465.31,11623.04
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,69033.83,9835.98
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1266.31,630.37
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,19537.13,6414.4
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,11873.79,4410.76
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2978.95,1555.15
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,791699.56,262288.27
S001154,2017 HON. BILL SHUSTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,791699.56,262288.27
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,3358.34,1127.31
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,785876.35,267298.02
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,37469.14,11720.18
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74507.46,25559.67
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,929.2,339.55
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20600.6,6590
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,12731.95,2270.48
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7092.32,6416.84
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,942565.36,321322.05
S001148,2017 HON. MICHAEL K. SIMPSON,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,942565.36,321322.05
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,11827.97,10631.41
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,722356.14,248683.77
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,22683.12,8907.17
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,65823.07,23060.7
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,20579.9,16896.66
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,34424.71,11394
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4151.82,1265
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,10243.4,546.99
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,892090.13,321385.7
S001191,2017 HON. KYRSTEN SINEMA,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,892090.13,321385.7
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,561.6,159.84
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,781681.08,278427.77
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,12379.11,3611.59
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,45383.23,17489.44
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,679.3,195
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33140,11380
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13163.44,3515.56
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,15339.18,12630.72
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,902326.94,327409.92
S001165,2017 HON. ALBIO SIRES,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,902326.94,327409.92
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2104.45,664.63
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,685985.09,234349.96
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,18735.96,8346.46
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,75309.13,26386.73
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,5020.36,4649.86
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,55297.3,20506.65
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,6823.5,1320.69
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2769,600
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,852044.79,296824.98
S000480,2017 HON. LOUISE SLAUGHTER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,852044.79,296824.98
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,4485.1,2847.52
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,770845.33,287482.65
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,28320.01,11795.52
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,54683.67,17869.79
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1646.77,829.72
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,20975.62,5888.38
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,4317.04,1655.68
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,3593,1176
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,888866.54,329545.26
S000510,2017 HON. ADAM SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,888866.54,329545.26
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2985.91,1923.5
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,701716.91,234057.74
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,57030.65,27671.33
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,64350.84,24223.44
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,1635.67,384.3
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,33525,10900
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,20441.44,7383.41
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,7295,5825
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,888981.42,312368.72
S001172,2017 HON. ADRIAN SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,888981.42,312368.72
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,7798.67,4839.39
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,629241.6,217296.13
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,9453.41,4312.49
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,47792.52,17100.69
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,3848.12,1823.15
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,37223.43,12867.57
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18273.76,7971.32
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2926.41,938.91
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,756557.92,267149.65
S000522,2017 HON. CHRISTOPHER H. SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,756557.92,267149.65
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,2132.78,388.18
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,596696.73,186852.82
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,42209.98,17898.02
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,82400.63,26960.05
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,2526.74,893.17
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,35975.94,12305.23
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,17187.53,4175.83
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4946.97,2952.99
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,784077.3,252426.29
S001195,2017 HON. JASON SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,784077.3,252426.29
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,15503.97,3564.01
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,626582.31,208829.72
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,23567.79,6164.55
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74932.44,27215.59
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,13402.55,1489.6
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,38669.12,14918.7
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,10178.88,5987.12
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,2931.21,977.07
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,805768.27,269146.36
S000583,2017 HON. LAMAR SMITH,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,805768.27,269146.36
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,9591.12,3668.45
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,562541.72,193333.36
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,7469.79,2085.86
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,74844.77,23849.15
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,6255.85,4665.7
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,28155,10005
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,13225.79,5368.17
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,4373.35,845.67
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,706457.39,243821.36
S001199,2017 HON. LLOYD SMUCKER,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICE TOTALS:,706457.39,243821.36
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,FRANKED MAIL,1447.99,695.6
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PERSONNEL COMPENSATION,701021.89,227927.12
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,TRAVEL,29092.19,12760.03
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,RENT  COMMUNICATION  UTILITIES,70705.6,25767.51
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,PRINTING AND REPRODUCTION,7368.47,1031.85
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OTHER SERVICES,31001.58,11316
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,SUPPLIES AND MATERIALS,18034.48,4496.66
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,EQUIPMENT,16740.97,9848.7
S001200,2017 HON. DARREN SOTO,2017,Q3,OFFICIAL EXPENSES OF MEMBERS,OFFICIAL EXPENSES OF MEMBERS TOTALS:,875413.17,293843.47
